fid,class,k1,k2,k3,k4,k5
5,1,0.37989,-0.03629,-0.27807,0.79269,-0.37788
4,1,0.24368,-0.03629,-0.27807,0.31635,0.25369
3,1,0.37989,-0.03629,-0.27807,0.31635,-0.37788
2,1,0.37989,-0.11892,1.6436,0.27136,-0.1333
1,1,0.37989,-0.03629,-1.05396,0.64818,-2.09639
15,1,0.37989,0.01012,1.6436,0.46057,0.5979
14,1,0.37989,0.01857,0.62242,1.11861,0.1048
13,1,0.37989,0.1021,1.6436,0.27136,0.1298
12,1,0.37989,0.01012,1.6436,0.46057,-0.1333
11,1,0.37989,0.01857,1.65844,1.11861,0.50836
10,1,0.37989,-0.03629,0.70113,1.49331,0.44898
9,1,0.37989,0.1021,1.65844,1.11861,0.25369
8,1,0.37989,0.01857,0.81739,0.79269,1.03459
23,1,0.37989,-0.11892,0.81739,0.46057,0.50836
22,1,0.37989,0.1021,0.81739,0.31635,0.50836
21,1,0.37989,-0.03629,0.81739,0.31635,0.50836
20,1,0.24368,0.1021,-0.27807,0.31635,0.25369
19,1,0.24368,0.1021,-0.1886,0.31635,0.50836
18,1,0.37989,-0.11892,0.03755,0.46057,-0.3554
17,1,0.37989,0.01012,0.81739,0.46057,-1.99435
16,1,0.37989,0.01012,0.81739,0.46057,0.1298
31,1,0.37989,-0.11892,0.81739,1.25739,0.1048
30,1,0.24368,0.01012,0.81739,0.46057,0.50836
29,1,0.37989,-0.11892,-0.1886,0.46057,-0.68024
28,1,0.37989,0.01857,0.81739,0.46057,0.44898
27,1,0.24368,0.1021,0.89312,0.89312,0.50836
26,1,0.37989,0.01857,0.81739,1.25739,0.50836
25,1,0.37989,-0.03629,0.81739,0.79269,0.60871
24,1,0.37989,0.01012,0.81739,0.79269,0.5979
103,1,0.37989,-0.11892,-2.6771,0.31635,0.60871
102,1,0.37989,0.1021,-2.6771,0.79269,0.60871
101,1,0.37989,0.01857,-1.86088,0.31635,-0.37788
100,1,0.37989,0.1021,0.81739,0.79269,0.57591
99,1,0.37989,0.1021,0.81739,0.46057,0.57591
98,1,0.37989,-0.11892,1.02107,0.46057,0.60871
97,1,0.37989,0.01857,0.81739,0.46057,-0.02813
96,1,0.37989,0.01012,0.70113,1.49331,0.60871
111,1,0.37989,-0.11892,0.81739,0.46057,0.1048
110,1,0.37989,-0.03629,0.81739,0.46057,0.1048
109,1,0.37989,0.01857,-0.1886,0.46057,-0.37788
108,1,0.37989,0.01857,-1.86088,-2.55422,-0.1333
107,1,0.37989,-0.03629,0.81739,0.79269,0.1298
106,1,0.37989,0.01857,1.6436,0.27136,0.1298
105,1,0.37989,0.1021,0.81739,0.79269,1.03459
104,1,0.37989,-0.03629,0.81739,0.79269,-0.02813
119,1,0.37989,0.1021,1.65844,1.11861,0.44898
118,1,0.37989,0.01857,1.01003,0.31635,-0.02813
117,1,0.24368,0.1021,1.01003,0.31635,0.50836
116,1,0.37989,-0.03629,0.81739,0.67366,-0.02813
115,1,0.37989,0.01857,-0.1886,0.67366,0.50836
114,1,0.37989,0.01857,1.01003,0.31635,-0.02813
113,1,0.24368,0.01857,1.01003,0.31635,0.50836
112,1,0.37989,0.1021,0.70113,1.49331,-0.02813
127,1,0.37989,0.1021,0.70113,-2.02158,0.44898
126,1,0.37989,0.01012,0.81739,0.46057,0.50836
125,1,0.37989,0.1021,0.81739,1.25739,-0.02813
124,1,0.37989,0.01012,0.81739,1.25739,-0.02813
123,1,0.24368,-0.03629,-0.1886,0.46057,-0.48902
122,1,0.37989,-0.11892,0.81739,0.46057,-0.48902
121,1,0.37989,-0.03629,0.70113,1.49331,0.44898
120,1,0.37989,0.1021,0.62242,1.11861,0.44898
71,1,0.37989,0.01857,-2.6771,0.79269,0.57591
